run_id,total_wagered,total_paid_out,total_hold,hold_pct,total_bettors,total_wins,total_losses
1,3880000.0,3590420.0,289580.0,7.46340206185567,388000,1806,386194
2,3895000.0,3762190.0,132810.0,3.409756097560976,389500,1990,387510
3,4015000.0,4846710.0,-831710.0,-20.715068493150685,401500,1942,399558
4,3905000.0,3106030.0,798970.0,20.460179257362356,390500,1825,388675
5,4030000.0,3146710.0,883290.0,21.91786600496278,403000,1697,401303
6,4025000.0,3780290.0,244710.0,6.079751552795031,402500,1843,400657
7,4005000.0,3574160.0,430840.0,10.757553058676654,400500,1813,398687
8,3905000.0,3679120.0,225880.0,5.78437900128041,390500,1880,388620
9,3880000.0,5235670.0,-1355670.0,-34.93994845360825,388000,1801,386199
10,3795000.0,4514330.0,-719330.0,-18.95467720685112,379500,1771,377729
11,3840000.0,3283790.0,556210.0,14.484635416666666,384000,1719,382281
12,4010000.0,3886370.0,123630.0,3.0830423940149627,401000,1869,399131
13,4000000.0,4301960.0,-301960.0,-7.549,400000,1836,398164
14,3910000.0,3259940.0,650060.0,16.62557544757033,391000,1905,389095
15,3925000.0,4187410.0,-262410.0,-6.685605095541401,392500,1869,390631
16,3945000.0,3075650.0,869350.0,22.036755386565275,394500,1851,392649
17,3985000.0,3166810.0,818190.0,20.531744040150564,398500,1934,396566
18,3890000.0,4288960.0,-398960.0,-10.256041131105398,389000,1687,387313
19,3995000.0,3286080.0,708920.0,17.74518147684606,399500,1750,397750
20,3830000.0,3836270.0,-6270.0,-0.1637075718015666,383000,1851,381149
21,3630000.0,5489240.0,-1859240.0,-51.218732782369145,363000,1896,361104
22,3955000.0,7851980.0,-3896980.0,-98.53299620733249,395500,1869,393631
23,3895000.0,9640530.0,-5745530.0,-147.5103979460847,389500,1975,387525
24,3880000.0,3246430.0,633570.0,16.329123711340205,388000,1678,386322
25,4075000.0,4050420.0,24580.0,0.6031901840490798,407500,1765,405735
