legs,total_odds,win_probability,total_wagered,total_paid_out,hold_pct
7,508,0.001968503937007874,10000.0,20320.0,-103.2
7,1340,0.0007462686567164179,10000.0,13400.0,-34.0
7,735,0.0013605442176870747,10000.0,14700.0,-47.0
7,705,0.0014184397163120568,10000.0,21150.0,-111.5
7,1754,0.0005701254275940707,10000.0,52620.0,-426.19999999999993
7,2308,0.0004332755632582322,10000.0,0.0,100.0
7,711,0.0014064697609001407,10000.0,7110.0,28.9
7,714,0.0014005602240896359,10000.0,7140.0,28.599999999999998
7,762,0.0013123359580052493,10000.0,15240.0,-52.400000000000006
7,421,0.0023752969121140144,10000.0,25260.0,-152.6
7,834,0.001199040767386091,10000.0,0.0,100.0
7,3761,0.00026588673225206064,10000.0,0.0,100.0
7,1342,0.0007451564828614009,10000.0,0.0,100.0
7,1044,0.0009578544061302681,10000.0,0.0,100.0
7,3691,0.000270929287455974,10000.0,0.0,100.0
7,1070,0.0009345794392523365,10000.0,0.0,100.0
7,1843,0.0005425935973955507,10000.0,18430.0,-84.3
7,3324,0.00030084235860409147,10000.0,0.0,100.0
7,231,0.004329004329004329,10000.0,6930.0,30.7
7,637,0.0015698587127158557,10000.0,6370.0,36.3
7,560,0.0017857142857142857,10000.0,0.0,100.0
7,350,0.002857142857142857,10000.0,14000.0,-40.0
7,410,0.0024390243902439024,10000.0,8200.0,18.0
7,406,0.0024630541871921183,10000.0,16240.0,-62.4
7,609,0.0016420361247947454,10000.0,12180.0,-21.8
7,2724,0.0003671071953010279,10000.0,0.0,100.0
7,3407,0.000293513354857646,10000.0,0.0,100.0
7,748,0.001336898395721925,10000.0,22440.0,-124.4
7,541,0.0018484288354898336,10000.0,0.0,100.0
7,967,0.001034126163391934,10000.0,0.0,100.0
7,3331,0.0003002101471029721,10000.0,0.0,100.0
7,1365,0.0007326007326007326,10000.0,40950.0,-309.5
7,2228,0.0004488330341113106,10000.0,0.0,100.0
7,1725,0.0005797101449275362,10000.0,34500.0,-245.00000000000003
7,1609,0.0006215040397762585,10000.0,0.0,100.0
7,1039,0.0009624639076034649,10000.0,0.0,100.0
7,1435,0.0006968641114982578,10000.0,14350.0,-43.5
7,348,0.0028735632183908046,10000.0,6960.0,30.4
7,4423,0.00022609088853719196,10000.0,0.0,100.0
7,4858,0.0002058460271716756,10000.0,0.0,100.0
7,1040,0.0009615384615384616,10000.0,0.0,100.0
7,1686,0.0005931198102016608,10000.0,33720.0,-237.2
7,1862,0.0005370569280343716,10000.0,0.0,100.0
7,1653,0.0006049606775559589,10000.0,16530.0,-65.3
7,1784,0.0005605381165919282,10000.0,0.0,100.0
7,1191,0.0008396305625524769,10000.0,0.0,100.0
7,2056,0.00048638132295719845,10000.0,0.0,100.0
7,550,0.0018181818181818182,10000.0,5500.0,45.0
7,445,0.0022471910112359553,10000.0,4450.0,55.50000000000001
7,795,0.0012578616352201257,10000.0,23850.0,-138.5
7,210,0.004761904761904762,10000.0,8400.0,16.0
7,1185,0.0008438818565400844,10000.0,0.0,100.0
7,1456,0.0006868131868131869,10000.0,14560.0,-45.6
7,708,0.0014124293785310734,10000.0,14160.0,-41.6
7,907,0.0011025358324145535,10000.0,0.0,100.0
7,1722,0.0005807200929152149,10000.0,0.0,100.0
7,1006,0.0009940357852882703,10000.0,30180.0,-201.79999999999998
7,415,0.0024096385542168677,10000.0,20750.0,-107.5
7,3103,0.0003222687721559781,10000.0,0.0,100.0
7,1572,0.0006361323155216285,10000.0,15720.0,-57.199999999999996
7,2384,0.00041946308724832214,10000.0,0.0,100.0
7,417,0.002398081534772182,10000.0,4170.0,58.3
7,1741,0.0005743825387708214,10000.0,0.0,100.0
7,649,0.0015408320493066256,10000.0,6490.0,35.099999999999994
7,786,0.001272264631043257,10000.0,0.0,100.0
7,1281,0.00078064012490242,10000.0,0.0,100.0
7,2047,0.0004885197850512946,10000.0,20470.0,-104.69999999999999
7,904,0.0011061946902654867,10000.0,27120.0,-171.2
7,728,0.0013736263736263737,10000.0,14560.0,-45.6
7,563,0.0017761989342806395,10000.0,0.0,100.0
7,1006,0.0009940357852882703,10000.0,0.0,100.0
7,2744,0.00036443148688046647,10000.0,0.0,100.0
7,307,0.003257328990228013,10000.0,9210.0,7.9
7,1533,0.0006523157208088715,10000.0,30660.0,-206.6
7,993,0.0010070493454179255,10000.0,9930.0,0.7000000000000001
7,2308,0.0004332755632582322,10000.0,23080.0,-130.8
7,279,0.0035842293906810036,10000.0,5580.0,44.2
7,987,0.0010131712259371835,10000.0,19740.0,-97.39999999999999
7,676,0.0014792899408284023,10000.0,0.0,100.0
7,2000,0.0005,10000.0,0.0,100.0
7,824,0.0012135922330097086,10000.0,0.0,100.0
7,925,0.001081081081081081,10000.0,9250.0,7.5
7,980,0.0010204081632653062,10000.0,9800.0,2.0
7,943,0.0010604453870625664,10000.0,18860.0,-88.6
7,3361,0.0002975304968759298,10000.0,0.0,100.0
7,1075,0.0009302325581395349,10000.0,10750.0,-7.5
7,234,0.004273504273504274,10000.0,9360.0,6.4
7,4521,0.00022119000221190003,10000.0,0.0,100.0
7,1230,0.0008130081300813008,10000.0,0.0,100.0
7,568,0.0017605633802816902,10000.0,5680.0,43.2
7,500,0.002,10000.0,15000.0,-50.0
7,569,0.0017574692442882249,10000.0,11380.0,-13.8
7,1812,0.0005518763796909492,10000.0,18120.0,-81.2
7,520,0.0019230769230769232,10000.0,5200.0,48.0
7,2786,0.0003589375448671931,10000.0,0.0,100.0
7,1446,0.0006915629322268327,10000.0,0.0,100.0
7,2038,0.0004906771344455348,10000.0,0.0,100.0
7,1216,0.0008223684210526315,10000.0,0.0,100.0
7,107,0.009345794392523364,10000.0,8560.0,14.399999999999999
7,1298,0.0007704160246533128,10000.0,12980.0,-29.799999999999997
7,697,0.0014347202295552368,10000.0,27880.0,-178.8
7,668,0.0014970059880239522,10000.0,0.0,100.0
7,1040,0.0009615384615384616,10000.0,0.0,100.0
7,1234,0.0008103727714748784,10000.0,0.0,100.0
7,1438,0.0006954102920723226,10000.0,28760.0,-187.6
7,1301,0.0007686395080707148,10000.0,0.0,100.0
